,samples,train_time,accuracy,precision,recall,f1
samples,1.0,0.34976812910918903,0.00670341414018281,-0.021675789892934862,0.00670341414018281,0.009819511155497814
train_time,0.34976812910918903,1.0,-0.03515246382139588,-0.06006785810059667,-0.03515246382139588,-0.03317776133137215
accuracy,0.00670341414018281,-0.03515246382139588,1.0,0.7228386137998946,1.0,0.9966094755054224
precision,-0.021675789892934862,-0.06006785810059667,0.7228386137998946,1.0,0.7228386137998946,0.6886133866660878
recall,0.00670341414018281,-0.03515246382139588,1.0,0.7228386137998946,1.0,0.9966094755054224
f1,0.009819511155497814,-0.03317776133137215,0.9966094755054224,0.6886133866660878,0.9966094755054224,1.0
