diversity,test_dataset,architecture,train_time,accuracy,precision,recall,f1,samples
1,ECG5000,cnn,366.88373859723407,0.9144679267427828,0.9156790395483426,0.9144679267427828,0.8867264124046107,500.0
1,ECG5000,rnn,223.2934327920278,0.6906675487631566,0.8080793896059563,0.6906675487631566,0.5785558781370251,500.0
1,Earthquakes,cnn,366.88373859723407,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
1,Earthquakes,rnn,223.2934327920278,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
1,ElectricDevices,cnn,366.88373859723407,0.7406792920974662,0.7542726310132893,0.7406792920974662,0.7235494150651397,500.0
1,ElectricDevices,rnn,223.2934327920278,0.3299479071541374,0.751147924608898,0.3299479071541374,0.2063228644830529,500.0
1,EthanolLevel,cnn,366.88373859723407,0.250000496519399,0.5843554280169903,0.250000496519399,0.17152537310861857,500.0
1,EthanolLevel,rnn,223.2934327920278,0.2569706358427423,0.753058373984853,0.2569706358427423,0.12656634806087272,500.0
1,Phoneme,cnn,366.88373859723407,0.17203484884405937,0.6759701153928005,0.17203484884405937,0.09042818948064946,500.0
1,Phoneme,rnn,223.2934327920278,0.11753514878514877,0.8518584514139679,0.11753514878514877,0.02833324663965695,500.0
3,ECG5000,cnn,1929.8376269340515,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
3,ECG5000,rnn,102.10206349690755,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
3,Earthquakes,cnn,1929.8376269340515,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
3,Earthquakes,rnn,102.10206349690755,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
3,ElectricDevices,cnn,1929.8376269340515,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
3,ElectricDevices,rnn,102.10206349690755,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
