,diversity,train_time,accuracy,precision,recall,f1,samples
diversity,1.0,0.5498539502716208,-0.13185379583686324,0.21051100581806406,-0.13185379583686324,-0.17198257175417458,
train_time,0.5498539502716208,1.0,-0.21721777185931926,0.33001723299725905,-0.21721777185931926,-0.2858862376073912,
accuracy,-0.13185379583686324,-0.21721777185931926,1.0,0.12164791082463974,1.0,0.9920697559106479,
precision,0.21051100581806406,0.33001723299725905,0.12164791082463974,1.0,0.12164791082463974,0.13350470897729919,
recall,-0.13185379583686324,-0.21721777185931926,1.0,0.12164791082463974,1.0,0.9920697559106479,
f1,-0.17198257175417458,-0.2858862376073912,0.9920697559106479,0.13350470897729919,0.9920697559106479,1.0,
samples,,,,,,,
