,samples,train_time,accuracy,precision,recall,f1
samples,1.0,0.42744415383915413,0.011674688549421256,-0.055356246951305206,0.011674688549421247,0.017592912110798144
train_time,0.42744415383915413,1.0,0.05431611990259283,-0.09642426934777361,0.05431611990259284,0.0660420468514924
accuracy,0.011674688549421256,0.05431611990259283,1.0,0.8267401121595958,1.0,0.9969353298284257
precision,-0.055356246951305206,-0.09642426934777361,0.8267401121595958,1.0,0.8267401121595958,0.8080090073749524
recall,0.011674688549421247,0.05431611990259284,1.0,0.8267401121595958,1.0,0.9969353298284257
f1,0.017592912110798144,0.0660420468514924,0.9969353298284257,0.8080090073749524,0.9969353298284257,1.0
