,diversity,train_time,accuracy,precision,recall,f1,samples
diversity,1.0,0.32239260970306427,-0.07862656958362968,0.15143909118627896,-0.07862656958362968,-0.10476046041117844,
train_time,0.32239260970306427,1.0,-0.02509210355093598,0.04619698253815486,-0.02509210355093598,-0.0353644095086465,
accuracy,-0.07862656958362968,-0.02509210355093598,1.0,-0.054137149527932554,1.0,0.99257479919359,
precision,0.15143909118627896,0.04619698253815486,-0.054137149527932554,1.0,-0.054137149527932554,-0.01249246454609782,
recall,-0.07862656958362968,-0.02509210355093598,1.0,-0.054137149527932554,1.0,0.99257479919359,
f1,-0.10476046041117844,-0.0353644095086465,0.99257479919359,-0.01249246454609782,0.99257479919359,1.0,
samples,,,,,,,
