,samples,train_time,accuracy,precision,recall,f1
samples,1.0,0.4961496883681056,0.0018903422280389735,0.010488889868559958,0.0018903422280389735,0.0026332749640585198
train_time,0.4961496883681056,1.0,-0.0023382115580525683,-0.025146622828556515,-0.0023382115580525683,0.007187641648571535
accuracy,0.0018903422280389735,-0.0023382115580525683,1.0,0.6225564492527838,1.0,0.9968066501016121
precision,0.010488889868559958,-0.025146622828556515,0.6225564492527838,1.0,0.6225564492527838,0.5780074802881835
recall,0.0018903422280389735,-0.0023382115580525683,1.0,0.6225564492527838,1.0,0.9968066501016121
f1,0.0026332749640585198,0.007187641648571535,0.9968066501016121,0.5780074802881835,0.9968066501016121,1.0
