,diversity,train_time,accuracy,precision,recall,f1,samples
diversity,1.0,0.8791422821487925,-0.022531043405408076,0.07332626259580458,-0.022531043405408076,-0.032312603498832235,
train_time,0.8791422821487925,1.0,-0.013879317359143004,0.04516961114560494,-0.013879317359143004,-0.019904842869052412,
accuracy,-0.022531043405408076,-0.013879317359143004,1.0,-0.31404826242320566,1.0,0.9938222620000701,
precision,0.07332626259580458,0.04516961114560494,-0.31404826242320566,1.0,-0.31404826242320566,-0.2214696972673269,
recall,-0.022531043405408076,-0.013879317359143004,1.0,-0.31404826242320566,1.0,0.9938222620000701,
f1,-0.032312603498832235,-0.019904842869052412,0.9938222620000701,-0.2214696972673269,0.9938222620000701,1.0,
samples,,,,,,,
