,diversity,test_dataset,train_time,accuracy,precision,recall,f1,samples,architecture
0,1,ECG5000,366.88373859723407,0.9144679267427828,0.9156790395483426,0.9144679267427828,0.8867264124046107,500.0,cnn
10,5,ECG5000,2027.5355684757233,0.7563000605161081,0.8392059336092058,0.7563000605161081,0.6667110192292287,500.0,cnn
0,1,ECG5000,223.2934327920278,0.6906675487631566,0.8080793896059563,0.6906675487631566,0.5785558781370251,500.0,rnn
5,3,ECG5000,1929.8376269340515,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,cnn
15,10,ECG5000,2001.7885395288467,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,cnn
20,20,ECG5000,2301.511611878872,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,cnn
25,40,ECG5000,2264.0279891490936,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,cnn
5,3,ECG5000,102.10206349690755,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,rnn
10,5,ECG5000,125.22377626101176,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,rnn
15,10,ECG5000,335.02873190244037,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,rnn
20,20,ECG5000,663.0952397982279,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,rnn
25,40,ECG5000,670.4271103541056,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0,rnn
