diversity,test_dataset,train_time,accuracy,precision,recall,f1,samples
1,ECG5000,366.88373859723407,0.9144679267427828,0.9156790395483426,0.9144679267427828,0.8867264124046107,500.0
1,Earthquakes,366.88373859723407,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
1,ElectricDevices,366.88373859723407,0.7406792920974662,0.7542726310132893,0.7406792920974662,0.7235494150651397,500.0
1,EthanolLevel,366.88373859723407,0.250000496519399,0.5843554280169903,0.250000496519399,0.17152537310861857,500.0
1,Phoneme,366.88373859723407,0.17203484884405937,0.6759701153928005,0.17203484884405937,0.09042818948064946,500.0
3,ECG5000,1929.8376269340515,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
3,Earthquakes,1929.8376269340515,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
3,ElectricDevices,1929.8376269340515,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
3,EthanolLevel,1929.8376269340515,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
3,Phoneme,1929.8376269340515,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
5,ECG5000,2027.5355684757233,0.7563000605161081,0.8392059336092058,0.7563000605161081,0.6667110192292287,500.0
5,Earthquakes,2027.5355684757233,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
5,ElectricDevices,2027.5355684757233,0.4867764872984599,0.7670195559134418,0.4867764872984599,0.4014545957654058,500.0
5,EthanolLevel,2027.5355684757233,0.2529880537432597,0.7181451737611846,0.2529880537432597,0.1309295296383063,500.0
5,Phoneme,2027.5355684757233,0.17535406967972758,0.7408515916993872,0.17535406967972758,0.09233697867518954,500.0
10,ECG5000,2001.7885395288467,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
10,Earthquakes,2001.7885395288467,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
10,ElectricDevices,2001.7885395288467,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
10,EthanolLevel,2001.7885395288467,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
10,Phoneme,2001.7885395288467,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
20,ECG5000,2301.511611878872,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
20,Earthquakes,2301.511611878872,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
20,ElectricDevices,2301.511611878872,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
20,EthanolLevel,2301.511611878872,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
20,Phoneme,2301.511611878872,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
40,ECG5000,2264.0279891490936,0.5838000467133465,0.7570224751058682,0.5838000467133465,0.43038577517789184,500.0
40,Earthquakes,2264.0279891490936,0.79826273943921,0.8389610464062348,0.79826273943921,0.7087101413879923,500.0
40,ElectricDevices,2264.0279891490936,0.25695738600058465,0.8090697126968182,0.25695738600058465,0.10505861098814284,500.0
40,EthanolLevel,2264.0279891490936,0.2509965144338189,0.8120028610700052,0.2509965144338189,0.10071863437631083,500.0
40,Phoneme,2264.0279891490936,0.1127958101642312,0.8999274378914438,0.1127958101642312,0.022867052240357625,500.0
